k,pk,simulation,model,fit
1,1.5021988964285935e-69,Random walk,EpiEstim,SI Uncertainty
2,0.6436388265565194,Random walk,EpiEstim,SI Uncertainty
3,0.35628978810167294,Random walk,EpiEstim,SI Uncertainty
4,7.138534069409897e-5,Random walk,EpiEstim,SI Uncertainty
5,1.1133855890058056e-12,Random walk,EpiEstim,SI Uncertainty
6,1.5489034998890325e-18,Random walk,EpiEstim,SI Uncertainty
7,2.73631270830729e-24,Random walk,EpiEstim,SI Uncertainty
8,1.6557815366178574e-28,Random walk,EpiEstim,SI Uncertainty
9,9.34387885543985e-32,Random walk,EpiEstim,SI Uncertainty
10,3.742615238844416e-37,Random walk,EpiEstim,SI Uncertainty
11,8.633692027800957e-40,Random walk,EpiEstim,SI Uncertainty
12,1.0414511322405839e-41,Random walk,EpiEstim,SI Uncertainty
13,1.8425898433013914e-44,Random walk,EpiEstim,SI Uncertainty
14,9.483286206314461e-46,Random walk,EpiEstim,SI Uncertainty
15,2.5750742054340586e-48,Random walk,EpiEstim,SI Uncertainty
16,1.6606851144913777e-51,Random walk,EpiEstim,SI Uncertainty
17,2.1883311867858034e-55,Random walk,EpiEstim,SI Uncertainty
18,9.102774635515953e-60,Random walk,EpiEstim,SI Uncertainty
19,6.502767698164722e-65,Random walk,EpiEstim,SI Uncertainty
20,5.342155403890636e-70,Random walk,EpiEstim,SI Uncertainty
21,1.9890135698276886e-74,Random walk,EpiEstim,SI Uncertainty
22,1.2450035427052518e-79,Random walk,EpiEstim,SI Uncertainty
23,2.9304665890757834e-84,Random walk,EpiEstim,SI Uncertainty
24,7.193464558017908e-89,Random walk,EpiEstim,SI Uncertainty
25,3.79566417268507e-93,Random walk,EpiEstim,SI Uncertainty
26,2.25367960620394e-97,Random walk,EpiEstim,SI Uncertainty
27,2.667278612358938e-102,Random walk,EpiEstim,SI Uncertainty
28,3.8270340488777835e-107,Random walk,EpiEstim,SI Uncertainty
29,2.511347268688102e-111,Random walk,EpiEstim,SI Uncertainty
30,5.744724274693816e-116,Random walk,EpiEstim,SI Uncertainty
1,1.218512915540107e-69,Random walk,EpiEstim,No Uncertainty
2,0.6468262215830987,Random walk,EpiEstim,No Uncertainty
3,0.3531072614239157,Random walk,EpiEstim,No Uncertainty
4,6.651699203740845e-5,Random walk,EpiEstim,No Uncertainty
5,9.48278748013397e-13,Random walk,EpiEstim,No Uncertainty
6,1.1632857683888926e-18,Random walk,EpiEstim,No Uncertainty
7,1.7729506947625987e-24,Random walk,EpiEstim,No Uncertainty
8,9.098828030337871e-29,Random walk,EpiEstim,No Uncertainty
9,4.317877770967894e-32,Random walk,EpiEstim,No Uncertainty
10,1.4639177542616825e-37,Random walk,EpiEstim,No Uncertainty
11,2.8489366022439375e-40,Random walk,EpiEstim,No Uncertainty
12,2.892357674802603e-42,Random walk,EpiEstim,No Uncertainty
13,4.3015664548460333e-45,Random walk,EpiEstim,No Uncertainty
14,1.8533427244397757e-46,Random walk,EpiEstim,No Uncertainty
15,4.201964184967206e-49,Random walk,EpiEstim,No Uncertainty
16,2.2528943181471407e-52,Random walk,EpiEstim,No Uncertainty
17,2.4554813050891163e-56,Random walk,EpiEstim,No Uncertainty
18,8.402869662096084e-61,Random walk,EpiEstim,No Uncertainty
19,4.905795914023063e-66,Random walk,EpiEstim,No Uncertainty
20,3.2823785319170153e-71,Random walk,EpiEstim,No Uncertainty
21,9.915627913443702e-76,Random walk,EpiEstim,No Uncertainty
22,5.041883706930371e-81,Random walk,EpiEstim,No Uncertainty
23,9.680632302237779e-86,Random walk,EpiEstim,No Uncertainty
24,1.9517545669487818e-90,Random walk,EpiEstim,No Uncertainty
25,8.520113923860862e-95,Random walk,EpiEstim,No Uncertainty
26,4.217933404868106e-99,Random walk,EpiEstim,No Uncertainty
27,4.177460676192772e-104,Random walk,EpiEstim,No Uncertainty
28,5.0213652554157695e-109,Random walk,EpiEstim,No Uncertainty
29,2.758386635957263e-113,Random walk,EpiEstim,No Uncertainty
30,5.2968019816135455e-118,Random walk,EpiEstim,No Uncertainty
