k,p,movingaverage,model
1,6.660103768130472e-34,Raw,EpiEstim
2,1.0,Raw,EpiEstim
3,5.160766966286553e-60,Raw,EpiEstim
4,9.412393266723152e-102,Raw,EpiEstim
5,2.2677690565458475e-141,Raw,EpiEstim
6,2.02537250311677e-167,Raw,EpiEstim
7,4.599585170008351e-165,Raw,EpiEstim
8,6.492257966321112e-162,Raw,EpiEstim
9,1.9398008270613635e-169,Raw,EpiEstim
10,2.6233337560948663e-182,Raw,EpiEstim
11,3.6697056168425054e-199,Raw,EpiEstim
12,2.2452922584261616e-211,Raw,EpiEstim
13,4.529553703043294e-223,Raw,EpiEstim
14,1.5136489482963854e-224,Raw,EpiEstim
15,2.1235159204870713e-223,Raw,EpiEstim
16,4.808168462665091e-223,Raw,EpiEstim
17,5.6837061302828595e-227,Raw,EpiEstim
18,4.538110760258362e-233,Raw,EpiEstim
19,1.4667478935757726e-239,Raw,EpiEstim
20,1.0465840731150665e-245,Raw,EpiEstim
21,3.4918700934587074e-249,Raw,EpiEstim
22,3.417481864630971e-250,Raw,EpiEstim
23,7.37925995530208e-253,Raw,EpiEstim
24,1.979110312557183e-258,Raw,EpiEstim
25,1.0770283136870847e-265,Raw,EpiEstim
26,5.261274331676406e-274,Raw,EpiEstim
27,2.249456641158722e-282,Raw,EpiEstim
28,3.1396722561142506e-289,Raw,EpiEstim
29,5.7379599992577026e-294,Raw,EpiEstim
30,4.1757887336913304e-300,Raw,EpiEstim
1,4.395476429841227e-180,5-day,EpiEstim
2,0.9999999999999902,5-day,EpiEstim
3,9.731830541342917e-15,5-day,EpiEstim
4,5.869734073799806e-36,5-day,EpiEstim
5,3.3345720432852107e-57,5-day,EpiEstim
6,2.3526313437630983e-75,5-day,EpiEstim
7,1.9444260890144752e-88,5-day,EpiEstim
8,8.549635861789962e-99,5-day,EpiEstim
9,9.630234088221967e-109,5-day,EpiEstim
10,1.1055493053856883e-118,5-day,EpiEstim
11,4.604811731454696e-128,5-day,EpiEstim
12,2.329487253164487e-136,5-day,EpiEstim
13,3.737830016426235e-143,5-day,EpiEstim
14,4.591974949134678e-148,5-day,EpiEstim
15,6.318924252286726e-152,5-day,EpiEstim
16,1.207974508720347e-155,5-day,EpiEstim
17,8.168735678943937e-160,5-day,EpiEstim
18,2.5334221989337036e-164,5-day,EpiEstim
19,6.233554713625314e-169,5-day,EpiEstim
20,2.502476230432255e-173,5-day,EpiEstim
21,1.8263733891963833e-177,5-day,EpiEstim
22,1.5080150688726861e-181,5-day,EpiEstim
23,4.058436289595306e-186,5-day,EpiEstim
24,1.9364578182101242e-191,5-day,EpiEstim
25,2.0964181722909394e-197,5-day,EpiEstim
26,7.173051239637978e-204,5-day,EpiEstim
27,1.524854808361824e-210,5-day,EpiEstim
28,3.832277515459075e-217,5-day,EpiEstim
29,1.3114795141516151e-223,5-day,EpiEstim
30,4.758631968451612e-230,5-day,EpiEstim
1,8.121027716915203e-197,10-day,EpiEstim
2,0.0030876881380675564,10-day,EpiEstim
3,0.9969100359504668,10-day,EpiEstim
4,2.2759114551339827e-6,10-day,EpiEstim
5,1.0685134373516739e-14,10-day,EpiEstim
6,4.7738448121752265e-23,10-day,EpiEstim
7,1.0845860495803858e-30,10-day,EpiEstim
8,1.0930048321080545e-37,10-day,EpiEstim
9,1.6764287258490683e-44,10-day,EpiEstim
10,1.9688347010185916e-51,10-day,EpiEstim
11,3.6281148953170225e-58,10-day,EpiEstim
12,9.591701601419598e-65,10-day,EpiEstim
13,4.702006459533565e-71,10-day,EpiEstim
14,7.209474729730138e-77,10-day,EpiEstim
15,2.83337970575617e-82,10-day,EpiEstim
16,2.0523768009114977e-87,10-day,EpiEstim
17,1.9856883876892484e-92,10-day,EpiEstim
18,2.0482631263100223e-97,10-day,EpiEstim
19,2.1436890745055536e-102,10-day,EpiEstim
20,2.625560421232979e-107,10-day,EpiEstim
21,4.283792155778881e-112,10-day,EpiEstim
22,9.244902702545948e-117,10-day,EpiEstim
23,1.718519832776842e-121,10-day,EpiEstim
24,2.0248970287838418e-126,10-day,EpiEstim
25,1.3311599207985942e-131,10-day,EpiEstim
26,5.144963973908001e-137,10-day,EpiEstim
27,1.5694199417385315e-142,10-day,EpiEstim
28,5.041123421982649e-148,10-day,EpiEstim
29,1.9691958916937224e-153,10-day,EpiEstim
30,8.612500556254001e-159,10-day,EpiEstim
